iso_code;continent;location;europe;total_cases;avg_daily_cases;total_deaths;avg_daily_deaths;avg_reproduction_rate;avg_stringency_index;population;population_density;median_age;hospital_beds_per_thousand;life_expectancy;hdi;fatality_rate;infection_rate
USA;North America;United States;No;20032035;65678,80328;345955;1134,278689;1,252748344;66,66764706;331002647;35,608;38,3;2,77;78,86;92,4;1,727;6,052
IND;Asia;India;No;10266674;33661,22623;148738;487,6655738;1,193321918;74,75888889;1380004385;450,419;28,2;0,53;69,66;64;1,449;0,744
BRA;South America;Brazil;No;7675973;25167,12459;194949;639,1770492;1,214163823;67,58885621;212559409;25,04;33,5;2,2;75,88;75,9;2,54;3,611
RUS;Europe;Russia;Yes;3127347;10253,59672;56271;184,495082;1,193529412;59,8169281;145934460;8,823;39,6;8,05;72,58;81,6;1,799;2,143
FRA;Europe;France;Yes;2677666;8779,232787;64759;212,3245902;1,211372549;64,18928105;65273512;122,578;42;5,98;82,66;90,1;2,418;4,102
GBR;Europe;United Kingdom;Yes;2496231;8184,363934;73622;241,3836066;1,197532895;66,82385621;67886004;272,898;40,8;2,54;81,32;92,2;2,949;3,677
TUR;Asia;Turkey;No;2208652;7241,481967;20881;68,46229508;1,161393728;63,93219595;84339067;104,914;31,6;2,81;77,69;79,1;0,945;2,619
ITA;Europe;Italy;Yes;2107166;6908,740984;74159;243,1442623;1,132712418;66,70545752;60461828;205,859;47,9;3,18;83,51;88;3,519;3,485
ESP;Europe;Spain;Yes;1928265;6322,180328;50837;166,6786885;1,227763158;66,21669935;46754783;93,105;45,5;2,97;83,56;89,1;2,636;4,124
DEU;Europe;Germany;Yes;1760520;5772,196721;33791;110,7901639;1,201704918;61,02127451;83783945;237,016;46,6;8;81,33;93,6;1,919;2,101
COL;South America;Colombia;No;1642775;5386,147541;43213;141,6819672;1,174791667;75,46046512;50882884;44,223;32,2;1,71;77,29;74,7;2,63;3,229
ARG;South America;Argentina;No;1625514;5329,554098;43245;141,7868852;1,165944056;83,94277778;45195777;16,177;31,9;5;76,67;82,5;2,66;3,597
MEX;North America;Mexico;No;1426094;4675,718033;125807;412,4819672;1,172083333;68,62794118;128932753;66,444;29,3;1,38;75,05;77,4;8,822;1,106
POL;Europe;Poland;Yes;1294878;4245,501639;28554;93,61967213;1,169212329;56,60132013;37846605;124,027;41,8;6,62;78,73;86,5;2,205;3,421
IRN;Asia;Iran;No;1225142;4016,859016;55223;181,0590164;1,115751634;56,73026144;83992953;49,831;32,4;1,5;76,68;79,8;4,507;1,459
UKR;Europe;Ukraine;Yes;1086997;3563,92459;19281;63,21639344;1,161103203;64,23947368;43733759;77,39;41,4;8,8;72,06;75,1;1,774;2,485
ZAF;Africa;South Africa;No;1057161;3466,101639;28469;93,34098361;1,178020833;63,16882353;59308690;46,754;27,3;2,32;64,13;69,9;2,693;1,782
PER;South America;Peru;No;1015137;3328,318033;37680;123,5409836;1,166262976;81,24368771;32971846;25,129;29,1;1,6;76,74;75;3,712;3,079
NLD;Europe;Netherlands;Yes;808382;2650,432787;11525;37,78688525;1,166666667;58,79627451;17134873;508,544;43,2;3,32;82,28;93,1;1,426;4,718
IDN;Asia;Indonesia;No;743198;2436,714754;22138;72,58360656;1,153883162;61,38619672;273523621;145,725;29,3;1,04;71,72;69,4;2,979;0,272
CZE;Europe;Czechia;Yes;718661;2356,265574;11580;37,96721311;1,169146758;52,16843137;10708982;137,176;43,3;6,63;79,38;88,8;1,611;6,711
BEL;Europe;Belgium;Yes;646496;2119,659016;19528;64,02622951;1,1527;60,13980392;11589616;375,564;41,8;5,64;81,63;91,6;3,021;5,578
ROU;Europe;Romania;Yes;632263;2072,993443;15767;51,69508197;1,146164384;58,9804902;19237682;85,129;43;6,892;76,05;81,1;2,494;3,287
CHL;South America;Chile;No;608973;1996,632787;16608;54,45245902;1,147353952;74,95787582;19116209;24,282;35,4;2,11;80,18;84,3;2,727;3,186
IRQ;Asia;Iraq;No;595291;1951,77377;12813;42,00983607;1,114266212;76,21908497;40222503;88,125;20;1,4;70,6;68,5;2,152;1,48
CAN;North America;Canada;No;584409;1916,095082;15632;51,25245902;1,174542373;64,75866013;37742157;4,037;41,4;2,5;82,43;92,6;2,675;1,548
BGD;Asia;Bangladesh;No;513510;1683,639344;7559;24,78360656;1,121078067;77,69276316;164689383;1265,036;27,5;0,8;72,59;60,8;1,472;0,312
PAK;Asia;Pakistan;No;482178;1580,911475;10176;33,36393443;1,138316151;64,17715686;220892331;255,573;23,5;0,6;67,27;56,2;2,11;0,218
PHL;Asia;Philippines;No;474064;1554,308197;9244;30,30819672;1,125479452;76,68653595;109581085;351,873;25,2;1;71,23;69,9;1,95;0,433
CHE;Europe;Switzerland;Yes;452296;1482,937705;7645;25,06557377;1,20089701;50,29503268;8654618;214,243;43,1;4,53;83,78;94,4;1,69;5,226
MAR;Africa;Morocco;No;439193;1439,977049;7388;24,22295082;1,138802817;71,09169935;36910558;80,08;29,6;1,1;76,68;66,7;1,682;1,19
SWE;Europe;Sweden;Yes;437379;1434,029508;8727;28,61311475;1,2503;57,34673203;10099270;24,718;41;2,22;82,8;93,3;1,995;4,331
ISR;Asia;Israel;No;423262;1387,744262;3325;10,90163934;1,172389078;67,55924837;8655541;402,606;30,6;2,99;82,97;90,3;0,786;4,89
PRT;Europe;Portugal;Yes;413678;1356,321311;6906;22,64262295;1,164505119;66,01781046;10196707;112,371;46,2;3,39;82,05;84,7;1,669;4,057
SAU;Asia;Saudi Arabia;No;362741;1189,314754;6223;20,40327869;1,07130137;65,91691803;34813867;15,322;31,9;2,7;75,13;85,3;1,716;1,042
AUT;Europe;Austria;Yes;360815;1183;6222;20,4;1,142181208;55,46875817;9006400;106,749;44,4;7,37;81,54;90,8;1,724;4,006
HUN;Europe;Hungary;Yes;322514;1057,422951;9537;31,26885246;1,147192982;58,4120132;9660350;108,043;43,4;7,02;76,88;83,8;2,957;3,339
JOR;Asia;Jordan;No;294494;965,5540984;3834;12,5704918;1,137183099;68,79253289;10203140;109,285;23,2;1,4;74,53;73,5;1,302;2,886
NPL;Asia;Nepal;No;260593;854,4032787;1856;6,085245902;1,14789916;76,85803922;29136808;204,43;25;0,3;70,78;57,4;0,712;0,894
PAN;North America;Panama;No;246790;809,147541;4022;13,18688525;1,143972125;77,02822148;4314768;55,133;29,7;2,3;78,51;78,9;1,63;5,72
JPN;Asia;Japan;No;235811;773,1508197;3292;10,79344262;1,135947712;37,73928105;126476458;347,778;48,2;13,05;84,63;90,9;1,396;0,186
GEO;Asia;Georgia;No;227420;745,6393443;2505;8,213114754;1,15115942;69,42055556;3989175;65,032;38,7;2,6;73,77;78;1,101;5,701
AZE;Asia;Azerbaijan;No;218700;717,0491803;2641;8,659016393;1,127392857;78,03026144;10139175;119,309;32,4;4,7;73;75,7;1,208;2,157
ECU;South America;Ecuador;No;212512;696,7606557;14034;46,01311475;1,115590278;69,77196078;17643060;66,939;28,1;1,5;77,01;75,2;6,604;1,205
HRV;Europe;Croatia;Yes;210837;691,2688525;3920;12,85245902;1,146585366;49,45297386;4105268;73,726;44;5,54;78,49;83,1;1,859;5,136
ARE;Asia;United Arab Emirates;No;207822;681,3836066;669;2,193442623;1,122881944;55,7127451;9890400;112,442;34;1,2;77,97;86,3;0,322;2,101
BGR;Europe;Bulgaria;Yes;202266;663,1672131;7576;24,83934426;1,125454545;48,46518395;6948445;65,18;44,7;7,454;75,05;81,3;3,746;2,911
KAZ;Asia;Kazakhstan;No;201196;659,6590164;2761;9,052459016;1,080785714;78,64367347;18776707;6,681;30,6;6,7;73,6;80;1,372;1,072
BLR;Europe;Belarus;Yes;194284;636,9967213;1424;4,668852459;1,134311594;16,7469281;9449321;46,858;40,3;11;74,79;80,8;0,733;2,056
LBN;Asia;Lebanon;No;181503;595,0918033;1468;4,813114754;1,155223368;68,69160131;6825442;594,561;31,1;2,9;78,93;75,7;0,809;2,659
SVK;Europe;Slovakia;Yes;179543;588,6655738;2138;7,009836066;1,161458333;53,46813953;5459643;113,128;41,2;5,82;77,54;85,5;1,191;3,289
DOM;North America;Dominican Republic;No;170785;559,9508197;2414;7,914754098;1,122;75,64287582;10847904;222,873;27,6;1,6;74,08;73,6;1,413;1,574
CRI;North America;Costa Rica;No;169321;555,1508197;2185;7,163934426;1,132736842;64,95013289;5094114;96,079;33,6;1,13;80,28;79,4;1,29;3,324
DNK;Europe;Denmark;Yes;164116;538,0852459;1298;4,255737705;1,129831081;53,97107843;5792203;136,52;42,3;2,5;80,9;92,9;0,791;2,833
BOL;South America;Bolivia;No;160124;524,9967213;9165;30,04918033;1,120545455;80,43719595;11673029;10,202;25,4;1,1;71,51;69,3;5,724;1,372
KWT;Asia;Kuwait;No;150584;493,7180328;934;3,062295082;1,08010274;73,34415033;4270563;232,128;33,7;2;75,49;80,3;0,62;3,526
MDA;Europe;Moldova;Yes;144818;474,8131148;2985;9,786885246;1,112084806;63,5687291;4033963;123,655;37,6;5,8;71,9;70;2,061;3,59
QAT;Asia;Qatar;No;143834;471,5868852;245;0,803278689;1,04840678;71,28277778;2881060;227,322;31,9;1,2;80,23;85,6;0,17;4,992
LTU;Europe;Lithuania;Yes;140579;460,9147541;1458;4,780327869;1,143485915;49,98300654;2722291;45,135;43,5;6,56;75,93;85,8;1,037;5,164
